Comment,Designator,Footprint,LCSC
Conn_01x03_Female,J5,TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal,
AudioJack3,"J4,J2,J3,J1",Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,
20k,R15,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100k,"R14,R12,R11,R10,R7,R4,R1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
22k,R13,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1.5M,"R9,R6,R3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10k,"R8,R5,R2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
220uF,"C14,C13",C_Elec_6.3x7.7,
10uF,"C12,C11",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,
100nF,"C10,C9,C8,C7",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,"C6,C5,C4,C3,C2,C1",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100k,"RV3,RV2,RV1",Potentiometer_Omeg_PC16BU_Horizontal,
LF353D,"U2,U1",SOIC-8_3.9x4.9mm_P1.27mm,
